mean,min,max,std,var,coe,con,medi,kurtosis,en,zcr,subject
-0.9021,-10.6055,4.4214,3.7086,13.7536,1,13.7536,-0.858,2.4477,714.6172,0.26,9
-0.6828,-10.6055,10.2825,3.9914,15.9314,1,15.9314,-0.7108,3.0432,820.347,0.2549,0
-0.2962,-10.6055,19.4207,4.8364,23.3911,1,23.3911,-0.5752,6.9454,1197.5093,0.25,1
-0.2093,-10.6055,19.4207,4.8314,23.3411,1,23.3411,-0.4395,6.7742,1216.0595,0.2453,2
-0.1009,-10.6055,19.4207,4.8514,23.5358,1,23.5358,-0.4122,6.4809,1247.9481,0.2427,3
-0.1337,-10.6055,19.4207,4.8124,23.1593,1,23.1593,-0.4395,6.5958,1251.5885,0.2545,4
-0.0225,-10.6055,19.4207,4.8406,23.4314,1,23.4314,-0.4122,6.2818,1288.7562,0.25,5
0.0404,-10.6055,19.4207,4.8206,23.2385,1,23.2385,-0.3849,6.2258,1301.4492,0.2346,6
0.1343,-10.6055,19.4207,4.8313,23.3418,1,23.3418,-0.2291,6.0184,1331.5286,0.2414,7
0.1423,-10.6055,19.4207,4.7899,22.9432,1,22.9432,-0.0733,6.1142,1331.8993,0.2373,8
0.1074,-10.6055,19.4207,4.7568,22.6273,1,22.6273,-0.2291,6.2048,1335.7015,0.25,9
0.1256,-10.6055,19.4207,4.7191,22.2702,1,22.2702,-0.0733,6.2828,1337.1768,0.2479,0
0.1831,-10.6055,19.4207,4.7022,22.1104,1,22.1104,0.1186,6.2298,1350.8153,0.2491,1
0.2326,-10.6055,19.4207,4.6806,21.9082,1,21.9082,0.3105,6.2084,1361.7189,0.2381,2
0.2405,-10.6055,19.4207,4.6437,21.5644,1,21.5644,0.4597,6.299,1362.256,0.2344,3
0.2209,-10.6055,19.4207,4.61,21.2524,1,21.2524,0.3105,6.397,1363.3238,0.2462,4
0.2021,-10.6055,19.4207,4.577,20.9485,1,20.9485,0.1186,6.4954,1364.3517,0.2424,5
0.1642,-10.6055,19.4207,4.5528,20.7277,1,20.7277,-0.0733,6.5635,1369.8368,0.2388,6
